# method, resolution, runtime0, runtime1, runtime2, runtime3, runtime4, runtime5, runtime6, runtime7, runtime8, runtime9, runtime10, runtime11, runtime12, runtime13, runtime14, runtime15, runtime16, runtime17, runtime18, runtime19, runtime20, runtime21, runtime22, runtime23, runtime24, runtime25, runtime26, runtime27, runtime28, runtime29
numba-python-oif, 800, 0.064443, 0.064306, 0.063902, 0.064002, 0.063972, 0.064074, 0.119098, 0.063997, 0.062598, 0.064271, 0.062898, 0.076672, 0.064535, 0.062955, 0.062894, 0.062739, 0.062742, 0.065891, 0.064517, 0.063199, 0.062753, 0.064792, 0.063181, 0.064468, 0.063378, 0.064582, 0.063741, 0.063589, 0.062429, 0.062245
numba-python-oif, 1600, 0.208972, 0.206198, 0.206799, 0.210701, 0.203985, 0.206042, 0.208011, 0.203850, 0.203419, 0.211722, 0.211117, 0.208365, 0.205276, 0.211904, 0.204300, 0.208810, 0.205825, 0.207778, 0.205257, 0.206061, 0.209302, 0.206247, 0.211926, 0.208234, 0.215638, 0.205126, 0.204498, 0.218457, 0.205461, 0.206112
numba-python-oif, 3200, 0.803260, 0.811562, 0.812555, 0.811166, 0.813816, 0.812664, 0.816174, 0.810119, 0.815261, 0.819116, 0.807806, 0.817204, 0.804183, 0.823030, 0.811102, 0.810139, 0.804254, 0.823669, 0.813093, 0.808659, 0.811185, 0.814701, 0.802836, 0.809513, 0.819911, 0.811998, 0.819192, 0.817950, 0.808404, 0.805111
numba-python-native, 800, 0.366460, 0.046810, 0.046524, 0.045927, 0.048260, 0.046802, 0.047668, 0.045668, 0.045336, 0.046235, 0.046966, 0.045835, 0.047453, 0.046550, 0.046834, 0.047609, 0.047931, 0.047592, 0.047030, 0.047637, 0.046725, 0.047226, 0.048420, 0.046809, 0.045198, 0.045905, 0.045775, 0.046763, 0.045871, 0.045466
numba-python-native, 1600, 0.155403, 0.155391, 0.158480, 0.162137, 0.160694, 0.157580, 0.158329, 0.157796, 0.159271, 0.159844, 0.155256, 0.157119, 0.159603, 0.153673, 0.156665, 0.155935, 0.157900, 0.157153, 0.155972, 0.156930, 0.158539, 0.155579, 0.155318, 0.158210, 0.157999, 0.156503, 0.157248, 0.154020, 0.155315, 0.155600
numba-python-native, 3200, 0.607928, 0.606857, 0.605414, 0.599403, 0.605881, 0.596907, 0.621985, 0.597804, 0.605518, 0.604048, 0.602085, 0.603215, 0.597403, 0.605466, 0.611329, 0.603391, 0.607309, 0.604832, 0.608656, 0.599887, 0.601492, 0.600972, 0.607344, 0.600992, 0.599251, 0.604754, 0.602783, 0.605172, 0.609552, 0.603576
