# method, resolution, runtime0, runtime1
py-oif-numba-v1, 800, 0.063045, 0.063875
py-oif-numba-v1, 1600, 0.208933, 0.205172
py-oif-numba-v2, 800, 0.065279, 0.063545
py-oif-numba-v2, 1600, 0.211227, 0.208295
py-oif-numba-v3, 800, 0.051241, 0.046552
py-oif-numba-v3, 1600, 0.150475, 0.153403
py-oif-numba-v4, 800, 0.052769, 0.046454
py-oif-numba-v4, 1600, 0.138776, 0.135183
numba-python-native, 800, 0.048038, 0.047793
numba-python-native, 1600, 0.155456, 0.159528
