method/resolution,800,1600,3200
step!,0.1521 ± 0.0240,0.4681 ± 0.0021,1.7583 ± 0.0454
solve,0.1347 ± 0.0011,0.4619 ± 0.0015,1.7931 ± 0.0600
oif from python,0.4532 ± 0.0042,1.0254 ± 0.0092,2.5669 ± 0.0190
